#Stat Context Type,Stat Context Name,Friendly Name,Overwatch Version,Season Number,Type
# Unranked
Unranked,,Unranked,,,Unranked
Ranked,Season 33,Competitive Role Queue,1,33,Competitive
Ruleset,Ranked - Season 33 - MarApr 2022 OpenQueue,Competitive Open Queue,1,33,Competitive
Ranked,Season 34,Competitive Role Queue,1,34,Competitive
Ruleset,Ranked - Season 34 - JulAug 2020 OpenQueue,Competitive Open Queue,1,34,Competitive
Ranked,Season 35,Competitive Role Queue,1,35,Competitive
Ruleset,Ranked - Season 35 - JulAug 2022 OpenQueue,Competitive Open Queue,1,35,Competitive
Ranked,Season 36,Competitive Role Queue,1,36,Competitive
Ruleset,Ranked - Season 36 - SepOct 2022 OpenQueue,Competitive Open Queue,1,36,Competitive

Ruleset,Competitive Season 1,Competitive Role Queue,2,1,Competitive
Ruleset,Competitive Open Queue - Ranked Season 1,Competitive Open Queue,2,1,Competitive
Ruleset,Competitive Season 2,Competitive Role Queue,2,2,Competitive
Ruleset,Competitive Open Queue - Ranked Season 2,Competitive Open Queue,2,2,Competitive
Ruleset,Competitive Season 3,Competitive Role Queue,2,3,Competitive
Ruleset,Competitive Season 3 - Open Queue,Competitive Open Queue,2,3,Competitive
Ruleset,Competitive Season 4,Competitive Role Queue,2,4,Competitive
Ruleset,Competitive Season 4 - Open Queue,Competitive Open Queue,2,4,Competitive
